,dateBefore,population_size,state_population_size,severityScore,pctStateAffected,interventionFootprint,State
3,2020-03-17,39512223,592683345,8.100000000000001,1.0,0.28465648971458785,California
4,2020-03-19,39512223,592683345,8.100000000000001,1.0,0.28465648971458785,California
5,2020-05-12,39512223,592683345,8.100000000000001,1.0,0.28465648971458785,California
0,2020-03-11,3017804,15089020,0.5,1.0,0.1,Arkansas
1,2020-03-12,3017804,15089020,1.7000000000000002,1.0,0.1595900528993931,Arkansas
2,2020-03-17,3017804,15089020,2.0,1.0,0.4,Arkansas
3,2020-03-19,3017804,15089020,2.2,1.0,0.5602732980670713,Arkansas
4,2020-05-04,3017804,15089020,2.2,1.0,0.5602732980670713,Arkansas
5,2020-05-11,3017804,15089020,2.2,1.0,0.5602732980670713,Arkansas
6,2020-05-18,3017804,15089020,2.2,1.0,0.5602732980670713,Arkansas
0,2020-03-06,6732219,6732219,0.1,1.0,0.1,Indiana
1,2020-03-16,6732219,6732219,0.6,1.0,0.6,Indiana
2,2020-03-19,6732219,6732219,0.4,1.0,0.4,Indiana
3,2020-03-25,6732219,6732219,1.0,1.0,1.0,Indiana
4,2020-05-04,6732219,6732219,1.0,1.0,1.0,Indiana
5,2020-05-11,6732219,6732219,1.0,1.0,1.0,Indiana
6,2020-05-18,6732219,6732219,1.0,1.0,1.0,Indiana
0,2020-03-09,3155070,3155070,0.1,1.0,0.1,Iowa
1,2020-03-15,3155070,3155070,0.4,1.0,0.4,Iowa
2,2020-05-01,3155070,3155070,0.4,1.0,0.4,Iowa
3,2020-05-08,3155070,3155070,0.4,1.0,0.4,Iowa
0,2020-03-12,8535519,8535519,0.1,1.0,0.1,Virginia
1,2020-03-17,8535519,8535519,0.3,1.0,0.3,Virginia
2,2020-03-23,8535519,8535519,0.4,1.0,0.4,Virginia
3,2020-03-30,8535519,8535519,1.0,1.0,1.0,Virginia
4,2020-05-01,8535519,8535519,1.0,1.0,1.0,Virginia
5,2020-05-15,8535519,8535519,1.0,1.0,1.0,Virginia
0,2020-03-13,3205958,12823832,1.6,1.0,0.4,Utah
1,2020-03-27,3205958,12823832,2.8,1.0,0.44542841796430277,Utah
2,2020-04-01,3205958,12823832,3.4,1.0,0.5119572371191388,Utah
3,2020-05-01,3205958,12823832,3.4,1.0,0.5119572371191388,Utah
4,2020-05-16,3205958,12823832,3.4,1.0,0.5119572371191388,Utah
0,2020-03-14,1792147,1792147,0.4,1.0,0.4,West Virginia
1,2020-03-16,1792147,1792147,0.4,1.0,0.4,West Virginia
2,2020-03-23,1792147,1792147,0.4,1.0,0.4,West Virginia
3,2020-04-30,1792147,1792147,0.4,1.0,0.4,West Virginia
4,2020-05-04,1792147,1792147,0.4,1.0,0.4,West Virginia
